post_id,text,comment_time,from_id
256000,"03.02.2013 — 02.03.2014 5,5 
03.03.2014 — 27.04.2014 7,0 
28.04.2014 — 27.07.2014 7,5 
28.07.2014 — 04.11.2014 8,0 
05.11.2014 — 11.12.2014 9,5 
12.12.2014 — 15.12.2014 10,5 
16.12.2014 — 01.02.2015 17,0 
02.02.2015 — 15.03.2015 15,0 
16.03.2015 — 04.05.2015 14,0 
05.05.2015 — 15.06.2015 12,5 
16.06.2015 — 02.08.2015 11,5 
03.08.2015 — 13.06.2016 11,0 
14.06.2016 — 18.09.2016 10,5 
19.09.2016 — 26.03.2017 10,0 
27.03.2017 — 01.05.2017 9,75 
02.05.2017 — 18.06.2017 9,25 
19.06.2017 — 17.09.2017 9,0 
18.09.2017 — 27.10.2017 8,5 
с 28.10.2017 — 8,25",1509102750,198259273
40962,Знать бы какой следующий лицензии лишится да и взять там кредит 😌,1408347392,67202103
49176,Значит не особенно боятся президента.Не указ он спекулянтам.,1418651392,223811321
49176,"А с рейтингом, с рейтингом президента то шо? Растет, небось, пропорционально падению рубля?)",1418651730,198510877
49176,"[id198510877|Кузьма], рейтинг приближается к 100%. Доллар будет 100 и рейтинг 100 %.....",1418653279,142024683
49176,"[id223811321|Людмила], а точнее чхать они на его указы хотели",1418653498,242882316
49176,хм. спекулянты ЗАРАБАТЫВАЮТ на падении рубля. Падение рубля из за падения нашей сырьевой экономики в связи с падением цены нефти... Президент виноват в ещё большем усугублении ситуации - рейтенговых пиар-махинаций на Украине.,1418654981,33504030
49176,"[id33504030|Алексей], Пока есть время думайте я лично пользуюсь . Хороший совет тем более ЦБ отказал бороться со спекулянтами мне нравится.... Рубль падает. И будет продолжать падать дальше ещё очень долго. ЧТО ДЕЛАТЬ? Лучший вариант - починить свою Машину Времени, слетать в прошлое, и поменять все рубли на доллары. А если у вас пока нет Машины Времени, есть вариант проще. Можно оформить кредитную карту с беспроцентным периодом до 55-ти дней, и, фактически, получить эту самую Машину Времени - покупаешь что-либо сейчас, а рубли отдаёшь потом, когда они уже подешевели, а твоя покупка подорожала.....",1418657285,262417381
49176,"[id262417381|Игорь], банки себя не обидят.",1418679106,218750771
49176,В  чем юмор?,1418747933,218750771
643097,"Как бы ещё россиян дорогих ограбить так, чтоб они ещё и радовались🤔",1571942819,24297206
28698,Очень плохо. Очень и очень,1392383778,155771773
28698,...просто надо больше не заключать с Европой и США долговременных контрактов на наши ресурсы...тогда наш Рубль снова приобреёт должную окраску и место...Они просто оборзели по-русски говоря...,1392393230,228136669
28698,"[id228136669|Мирослав], а вы чего собственно больше хотите,потешить патриотическую жилку сильным рублём или доступных товаров,нельзя иметь и то и другое одновременно,при сильном рубле у нас в стране производить что-либо не выгодно,выгодно ввозить произведённое за границей,а вот если вы хотите чтобы в нашей стране что-то производилось,то тогда надо девальвировать рубль,но плавно по проценту в неделю.",1392447685,198936842
28698,"было ЖЕ сказано, что не рубь дешевеет, а валюта чужая дорожает.",1392484913,8298458
585760,и что -пощадит ?,1560965412,158623383
585760,Лучше пусть помогут абрамович..тимченко ..усанов авен..,1560997700,225506455
239651,Обещала лиса в курятник не ходить.....(((,1505485268,280727511
239651,"Даа п@здец!людям по 6 лет з/п не прибавляют, а в институтах з/п научного сотрудника 12-15 т",1505555460,417721152
587812,"шоу должно продолжаться?...)))
 Геббельс был прав в своём высказывании о чудовищной лжи.",1561390728,66120504
587812,"Если мне будет позволено я бы указал, что для роста экономики и ВВП во 2-ом квартале осталось меньше недели. И без ГМО особого роста не получится. А ещё я бы спросил, ""а нам, что с того?"" Вот ведь парадокс. Экономика растёт, а реальные доходы населения падают. Тема для диссертации.",1561391219,213954542
587812,Надежда умирает последней...,1561400702,458329847
479268,Да запретите уже все...,1543923016,149052123
479268,"ага и границы на замок,и выезд только по большому блату с тургруппой в Венгрию и Болгарию....хотя нет,это все НАТО,а,вообще без выезда....и телевидение отключите,хотя там и так чего-то мутят с цифровым тв,короче,сто лет прошло,все вернулось на круги своя.....",1543923443,231407023
479268,Здравствуй обратно чёрный рынок!,1543923855,243882683
479268,и правильно - туалетная бумага мягче😊 )),1543926211,142917177
479268,В банках то наверно можно менять?.,1543927038,387180850
303144,"МК, осветите нам скандал с АСВ (агентство по страхованию вкладов) с вкладчиками, говорят их уже сотни",1518641066,176333355
1136682,Очередное МММ,1662373522,173628274
26674,"Как всегда россия идёт на поводу у доллара,может совсем отказатся от рубля?",1389780033,36343453
51251,"ВСЕХ В ОДНУ БАНКУ УПЛОТНИТЬ,ЗАКАТАТЬ И ЗА ОКЕАН ,В ФАШИНГТОН ОТПРАВИТЬ...",1422241429,171276623
51251,"[id275883621|Максюта], как выбрали,так и закатаем...всему свое время.",1422261164,171276623
333880,Спекулянты.,1524142364,468876331
333880,,1524145172,359053765
333880,,1524145221,359053765
1599547,"Что то я сомневаюсь, что их доработают, про купюры потом забудут, и их не доработают.",1698416391,194070637
1599547,в поиске номинала..😊,1698416575,490507432
1599547,"Коту делать не фиг, он.....",1698416723,470456488
1599547,Там уже и деноминация не далеко.,1698422564,21597616
1599547,"это значит, услышали мнение народа и теперь переделают купюру",1698464057,806850885
1599547,"Ну это логично как по мне, потому что крест на купюрах было до этого и не удивителььно что должно быть сейчас как по мне",1698464876,729712767
1599547,"Значит это что услышали мнение народа и теперь переделают купюры . А краску найдут, а краска будет лучше чем Шведская .",1698480800,331326281
1599547,"Какие не печатай,все равно дерево.Укрепить Набиулина его не собирается.",1698688861,531048811
1304636,В тюрьму эту подельницу Путена!,1672671251,737034200
1304636,Браво Набиулина! Это высокая оценка вашей работы во время СВО !,1672712698,710563982
1304636,"- а что там за чавк такой за сараем? 
- а это копатели моря болт сосут всем свинарником.",1672732404,10956996
786500,Поразительная забота о людях!,1599292406,132815438
421957,"Слабый рубль полезен и выгоден российской экономике - говорили нам те, кто живёт на доллары и евро.",1536937112,94416448
421957,,1536937437,441493053
421957,Слабый рубль - это заслуга г-жи Набиуллиной..,1536938133,429407576
421957,,1536938572,237818510
847942,"Ну с валютных то мы можем. правда, далеко не все...",1615208139,162120531
968780,Отлично,1648194721,704137702
968780,Очередное враньё.Они даже сейчас не хотят лицом повернуться к народу,1648197333,454643847
968780,А значит  тоннами это чье то личное было?!,1648309879,229247509
710735,От сучка...,1586002996,302868718
710735,"Либо отменить ограничения, либо выплачивать, иначе загнется малый бизнес",1586003612,163127749
710735,Ну и тварь!!!,1586005290,173628274
710735,Дать ей среднюю зарплату по стране ...пусть попробует выжить.,1586005612,318663286
710735,Эту крысу Набибуллину отдать под трибунал за вредительство и госизмену.,1586011345,231945125
710735,так для этого вирус и запустили.чтобы все бизнесы в мире загнулись....а китайские.с дешёвой нефтью поднялись...Дело не в умерших..это вторично.дело только в экономике.в лидерстве на рынке!,1586014575,116936829
710735,Ей просто запрещено поднимать нашу экономику,1586015448,100333225
710735,"Так как их у неё нет, всё в чьих то бездоных карманах.",1586015465,103118318
710735,Когда ее вообще уберут?,1586035944,275273774
710735,Закрывайте Московский регион полностью! Только это сможет остановить эпидемию!!!,1586085677,449795977
710735,"Требуем обнулить все кредиты и ипотеки, а ЖКХ сделать как в СССР - не более 5% от дохода гражданина!",1586085773,449795977
59472,Хорошо топит экономику РФ!,1442430381,304277656
59472,Лучашая это я!!,1442430546,148379740
59472,"По моему, похожа на змею...",1442431390,104583014
59472,Что от чурки можно ждать?,1442475885,253230153
475218,"Странно...очень странно! Почему ЦБ реагирует так на рубль??? Мое мнение, он так должен реагировать на доллар!!!",1543319816,224055179
475218,Вечно падающий рубль .,1543332298,188236209
487508,"Центробанк только и занимается удорожанием жизни...Это при Сталине дешевело ..ОН о народе пережившим войну думал .. А сегодня среди народа ""врагов"" выискивают и арестовывают за крик души о нищенстве",1545201283,307789964
487508,,1545201358,406114315
487508,Уже подорожало на 40%минимум,1545201411,150540208
487508,"Сталин думал о народе, как бы его сделать по меньше",1545201734,178582253
487508,все,1545201834,490019597
487508,И компот.,1545201921,139417845
487508,Все .,1545203561,515989517
